timestamp,model,revision,step,threshold,layer_name,layer_index,num_neurons,num_dormant,pct_dormant,avg_activation,max_activation
2025-11-06T15:01:29.883210,EleutherAI/pythia-70m-deduped,step46000,46000,0.2,layers.5.mlp.act,5,2048,4,0.1953,0.196281,3.646996
2025-11-06T15:01:46.236920,EleutherAI/pythia-70m-deduped,step78000,78000,0.2,layers.0.mlp.act,0,2048,0,0.0,0.173057,0.920284
2025-11-06T15:01:46.236920,EleutherAI/pythia-70m-deduped,step78000,78000,0.2,layers.1.mlp.act,1,2048,5,0.2441,0.162046,1.535885
2025-11-06T15:01:46.236920,EleutherAI/pythia-70m-deduped,step78000,78000,0.2,layers.2.mlp.act,2,2048,1,0.0488,0.159778,2.548449
2025-11-06T15:01:46.236920,EleutherAI/pythia-70m-deduped,step78000,78000,0.2,layers.3.mlp.act,3,2048,4,0.1953,0.17932,2.046405
2025-11-06T15:01:46.236920,EleutherAI/pythia-70m-deduped,step78000,78000,0.2,layers.4.mlp.act,4,2048,2,0.0977,0.210425,2.790202
2025-11-06T15:01:46.236920,EleutherAI/pythia-70m-deduped,step78000,78000,0.2,layers.5.mlp.act,5,2048,5,0.2441,0.207134,3.187447
2025-11-06T15:02:02.567858,EleutherAI/pythia-70m-deduped,step94000,94000,0.2,layers.0.mlp.act,0,2048,0,0.0,0.145433,0.862322
2025-11-06T15:02:02.567858,EleutherAI/pythia-70m-deduped,step94000,94000,0.2,layers.1.mlp.act,1,2048,7,0.3418,0.147479,1.033624
2025-11-06T15:02:02.567858,EleutherAI/pythia-70m-deduped,step94000,94000,0.2,layers.2.mlp.act,2,2048,1,0.0488,0.152532,2.038105
2025-11-06T15:02:02.567858,EleutherAI/pythia-70m-deduped,step94000,94000,0.2,layers.3.mlp.act,3,2048,7,0.3418,0.182426,2.614916
2025-11-06T15:02:02.567858,EleutherAI/pythia-70m-deduped,step94000,94000,0.2,layers.4.mlp.act,4,2048,4,0.1953,0.220364,5.915228
2025-11-06T15:02:02.567858,EleutherAI/pythia-70m-deduped,step94000,94000,0.2,layers.5.mlp.act,5,2048,7,0.3418,0.217522,7.048519
2025-11-06T15:02:19.398184,EleutherAI/pythia-70m-deduped,step110000,110000,0.2,layers.0.mlp.act,0,2048,0,0.0,0.151811,0.76242
2025-11-06T15:02:19.398184,EleutherAI/pythia-70m-deduped,step110000,110000,0.2,layers.1.mlp.act,1,2048,4,0.1953,0.145259,1.13116
2025-11-06T15:02:19.398184,EleutherAI/pythia-70m-deduped,step110000,110000,0.2,layers.2.mlp.act,2,2048,1,0.0488,0.148514,1.692334
2025-11-06T15:02:19.398184,EleutherAI/pythia-70m-deduped,step110000,110000,0.2,layers.3.mlp.act,3,2048,6,0.293,0.186295,2.506743
2025-11-06T15:02:19.398184,EleutherAI/pythia-70m-deduped,step110000,110000,0.2,layers.4.mlp.act,4,2048,5,0.2441,0.235803,7.949139
2025-11-06T15:02:19.398184,EleutherAI/pythia-70m-deduped,step110000,110000,0.2,layers.5.mlp.act,5,2048,11,0.5371,0.228989,13.28233
2025-11-06T15:02:35.400682,EleutherAI/pythia-70m-deduped,step126000,126000,0.2,layers.0.mlp.act,0,2048,0,0.0,0.130633,0.668138
2025-11-06T15:02:35.400682,EleutherAI/pythia-70m-deduped,step126000,126000,0.2,layers.1.mlp.act,1,2048,3,0.1465,0.140217,0.975936
2025-11-06T15:02:35.400682,EleutherAI/pythia-70m-deduped,step126000,126000,0.2,layers.2.mlp.act,2,2048,2,0.0977,0.147341,1.58161
2025-11-06T15:02:35.400682,EleutherAI/pythia-70m-deduped,step126000,126000,0.2,layers.3.mlp.act,3,2048,6,0.293,0.185267,2.550552
2025-11-06T15:02:35.400682,EleutherAI/pythia-70m-deduped,step126000,126000,0.2,layers.4.mlp.act,4,2048,5,0.2441,0.229184,7.793058
2025-11-06T15:02:35.400682,EleutherAI/pythia-70m-deduped,step126000,126000,0.2,layers.5.mlp.act,5,2048,14,0.6836,0.234683,15.790471
2025-11-06T15:02:51.772040,EleutherAI/pythia-70m-deduped,step133000,133000,0.2,layers.0.mlp.act,0,2048,0,0.0,0.124163,0.778166
2025-11-06T15:02:51.772040,EleutherAI/pythia-70m-deduped,step133000,133000,0.2,layers.1.mlp.act,1,2048,4,0.1953,0.139047,0.834048
2025-11-06T15:02:51.772040,EleutherAI/pythia-70m-deduped,step133000,133000,0.2,layers.2.mlp.act,2,2048,2,0.0977,0.145001,1.312251
2025-11-06T15:02:51.772040,EleutherAI/pythia-70m-deduped,step133000,133000,0.2,layers.3.mlp.act,3,2048,6,0.293,0.180821,2.755147
2025-11-06T15:02:51.772040,EleutherAI/pythia-70m-deduped,step133000,133000,0.2,layers.4.mlp.act,4,2048,6,0.293,0.227352,8.840161
2025-11-06T15:02:51.772040,EleutherAI/pythia-70m-deduped,step133000,133000,0.2,layers.5.mlp.act,5,2048,10,0.4883,0.231557,14.416834
2025-11-06T15:03:09.142908,EleutherAI/pythia-70m-deduped,step138000,138000,0.2,layers.0.mlp.act,0,2048,0,0.0,0.131911,0.814094
2025-11-06T15:03:09.142908,EleutherAI/pythia-70m-deduped,step138000,138000,0.2,layers.1.mlp.act,1,2048,3,0.1465,0.140796,0.822798
2025-11-06T15:03:09.142908,EleutherAI/pythia-70m-deduped,step138000,138000,0.2,layers.2.mlp.act,2,2048,1,0.0488,0.144614,1.370356
2025-11-06T15:03:09.142908,EleutherAI/pythia-70m-deduped,step138000,138000,0.2,layers.3.mlp.act,3,2048,4,0.1953,0.180834,2.424618
2025-11-06T15:03:09.142908,EleutherAI/pythia-70m-deduped,step138000,138000,0.2,layers.4.mlp.act,4,2048,5,0.2441,0.231583,8.869115
2025-11-06T15:03:09.142908,EleutherAI/pythia-70m-deduped,step138000,138000,0.2,layers.5.mlp.act,5,2048,9,0.4395,0.235748,13.964675
2025-11-06T15:03:25.872846,EleutherAI/pythia-70m-deduped,step143000,143000,0.2,layers.0.mlp.act,0,2048,0,0.0,0.129079,0.75269
2025-11-06T15:03:25.872846,EleutherAI/pythia-70m-deduped,step143000,143000,0.2,layers.1.mlp.act,1,2048,2,0.0977,0.140313,0.678619
2025-11-06T15:03:25.872846,EleutherAI/pythia-70m-deduped,step143000,143000,0.2,layers.2.mlp.act,2,2048,1,0.0488,0.144777,1.396003
2025-11-06T15:03:25.872846,EleutherAI/pythia-70m-deduped,step143000,143000,0.2,layers.3.mlp.act,3,2048,5,0.2441,0.178645,2.564898
2025-11-06T15:03:25.872846,EleutherAI/pythia-70m-deduped,step143000,143000,0.2,layers.4.mlp.act,4,2048,5,0.2441,0.22215,7.825113
2025-11-06T15:03:25.872846,EleutherAI/pythia-70m-deduped,step143000,143000,0.2,layers.5.mlp.act,5,2048,11,0.5371,0.233869,14.512719
